ENSG00000169047	ENSG00000169047
ENSG00000169047	ENSG00000185950
ENSG00000169047	ENSG00000133124
ENSG00000115687	ENSG00000115687
ENSG00000124216	ENSG00000124216
ENSG00000124216	ENSG00000143867
ENSG00000107371	ENSG00000107371
ENSG00000165233	ENSG00000165233
ENSG00000148334	ENSG00000148334
ENSG00000148248	ENSG00000148248
ENSG00000263090	ENSG00000263090
ENSG00000263090	ENSG00000262512
ENSG00000263090	ENSG00000240542
ENSG00000263090	ENSG00000239886
ENSG00000263090	ENSG00000204873
ENSG00000263090	ENSG00000187272
ENSG00000263090	ENSG00000241595
ENSG00000263090	ENSG00000198083
ENSG00000263090	ENSG00000212659
ENSG00000263090	ENSG00000180386
ENSG00000047644	ENSG00000047644
ENSG00000047644	ENSG00000113645
ENSG00000047644	ENSG00000151718
ENSG00000198814	ENSG00000198814
ENSG00000196632	ENSG00000196632
ENSG00000196632	ENSG00000165238
ENSG00000196632	ENSG00000060237
ENSG00000184007	ENSG00000184007
ENSG00000097096	ENSG00000097096
ENSG00000265491	ENSG00000265491
ENSG00000265491	ENSG00000070423
ENSG00000143631	ENSG00000143631
ENSG00000160688	ENSG00000160688
ENSG00000135828	ENSG00000135828
ENSG00000159388	ENSG00000159388
ENSG00000162923	ENSG00000162923
ENSG00000091483	ENSG00000091483
ENSG00000122882	ENSG00000122882
ENSG00000165338	ENSG00000165338
ENSG00000198408	ENSG00000198408
ENSG00000142102	ENSG00000142102
ENSG00000166352	ENSG00000166352
ENSG00000167985	ENSG00000167985
ENSG00000173599	ENSG00000173599
ENSG00000186635	ENSG00000186635
ENSG00000186635	ENSG00000047365
ENSG00000186635	ENSG00000120318
ENSG00000166037	ENSG00000166037
ENSG00000095139	ENSG00000095139
ENSG00000139174	ENSG00000139174
ENSG00000197757	ENSG00000197757
ENSG00000198707	ENSG00000198707
ENSG00000084112	ENSG00000084112
ENSG00000132963	ENSG00000132963
ENSG00000136108	ENSG00000136108
ENSG00000176153	ENSG00000176153
ENSG00000176153	ENSG00000167468
ENSG00000176153	ENSG00000233276
ENSG00000100796	ENSG00000100796
ENSG00000170779	ENSG00000170779
ENSG00000170779	ENSG00000179833
ENSG00000166855	ENSG00000166855
ENSG00000173548	ENSG00000173548
ENSG00000173548	ENSG00000130340
ENSG00000181991	ENSG00000181991
ENSG00000140983	ENSG00000140983
ENSG00000140983	ENSG00000126858
ENSG00000103313	ENSG00000103313
ENSG00000167191	ENSG00000167191
ENSG00000169627	ENSG00000169627
ENSG00000159461	ENSG00000159461
ENSG00000102898	ENSG00000102898
ENSG00000102898	ENSG00000132661
ENSG00000102898	ENSG00000101888
ENSG00000140876	ENSG00000140876
ENSG00000167693	ENSG00000167693
ENSG00000108561	ENSG00000108561
ENSG00000170037	ENSG00000170037
ENSG00000171953	ENSG00000171953
ENSG00000108262	ENSG00000108262
ENSG00000136504	ENSG00000136504
ENSG00000136490	ENSG00000136490
ENSG00000167881	ENSG00000167881
ENSG00000169696	ENSG00000169696
ENSG00000134046	ENSG00000134046
ENSG00000116017	ENSG00000116017
ENSG00000188039	ENSG00000188039
ENSG00000063177	ENSG00000063177
ENSG00000123119	ENSG00000123119
ENSG00000198853	ENSG00000198853
ENSG00000135069	ENSG00000135069
ENSG00000136881	ENSG00000136881
ENSG00000136881	ENSG00000119673
ENSG00000136881	ENSG00000184227
ENSG00000136881	ENSG00000177465
ENSG00000188566	ENSG00000188566
ENSG00000188566	ENSG00000127948
ENSG00000188566	ENSG00000124275
ENSG00000102103	ENSG00000102103
ENSG00000147065	ENSG00000147065
ENSG00000147065	ENSG00000092820
ENSG00000147065	ENSG00000186575
ENSG00000198908	ENSG00000198908
ENSG00000156709	ENSG00000156709
ENSG00000160211	ENSG00000160211
ENSG00000049245	ENSG00000049245
ENSG00000049245	ENSG00000139190
ENSG00000049245	ENSG00000220205
ENSG00000049245	ENSG00000118640
ENSG00000159339	ENSG00000159339
ENSG00000159339	ENSG00000117115
ENSG00000159339	ENSG00000142623
ENSG00000159339	ENSG00000142619
ENSG00000171357	ENSG00000171357
ENSG00000117519	ENSG00000117519
ENSG00000188761	ENSG00000188761
ENSG00000143363	ENSG00000143363
ENSG00000163554	ENSG00000163554
ENSG00000163554	ENSG00000197694
ENSG00000120370	ENSG00000120370
ENSG00000082512	ENSG00000082512
ENSG00000082512	ENSG00000131323
ENSG00000082512	ENSG00000175104
ENSG00000082512	ENSG00000056558
ENSG00000082512	ENSG00000127191
ENSG00000135744	ENSG00000135744
ENSG00000187134	ENSG00000187134
ENSG00000187134	ENSG00000151632
ENSG00000187134	ENSG00000196139
ENSG00000187134	ENSG00000198610
ENSG00000187134	ENSG00000122787
ENSG00000187134	ENSG00000165568
ENSG00000187134	ENSG00000227471
ENSG00000187134	ENSG00000085662
ENSG00000187134	ENSG00000198074
ENSG00000187134	ENSG00000117448
ENSG00000077420	ENSG00000077420
ENSG00000148671	ENSG00000148671
ENSG00000171311	ENSG00000171311
ENSG00000107949	ENSG00000107949
ENSG00000129151	ENSG00000129151
ENSG00000165917	ENSG00000165917
ENSG00000175467	ENSG00000175467
ENSG00000168040	ENSG00000168040
ENSG00000118369	ENSG00000118369
ENSG00000118369	ENSG00000170185
ENSG00000150455	ENSG00000150455
ENSG00000166532	ENSG00000166532
ENSG00000166532	ENSG00000177181
ENSG00000186666	ENSG00000186666
ENSG00000089234	ENSG00000089234
ENSG00000132953	ENSG00000132953
ENSG00000023516	ENSG00000023516
ENSG00000100813	ENSG00000100813
ENSG00000100906	ENSG00000100906
ENSG00000100906	ENSG00000282905
ENSG00000100906	ENSG00000104825
ENSG00000119638	ENSG00000119638
ENSG00000103876	ENSG00000103876
ENSG00000198736	ENSG00000198736
ENSG00000213853	ENSG00000213853
ENSG00000184110	ENSG00000184110
ENSG00000140795	ENSG00000140795
ENSG00000140931	ENSG00000140931
ENSG00000103043	ENSG00000103043
ENSG00000140968	ENSG00000140968
ENSG00000140968	ENSG00000137265
ENSG00000140968	ENSG00000213928
ENSG00000140968	ENSG00000128604
ENSG00000140968	ENSG00000117595
ENSG00000140968	ENSG00000185507
ENSG00000140968	ENSG00000126456
ENSG00000197417	ENSG00000197417
ENSG00000278259	ENSG00000278259
ENSG00000278259	ENSG00000197879
ENSG00000278259	ENSG00000176658
ENSG00000108465	ENSG00000108465
ENSG00000108387	ENSG00000108387
ENSG00000182040	ENSG00000182040
ENSG00000167280	ENSG00000167280
ENSG00000231824	ENSG00000231824
ENSG00000075643	ENSG00000075643
ENSG00000170677	ENSG00000170677
ENSG00000104915	ENSG00000104915
ENSG00000104915	ENSG00000135823
ENSG00000130520	ENSG00000130520
ENSG00000105270	ENSG00000105270
ENSG00000123810	ENSG00000123810
ENSG00000123810	ENSG00000108641
ENSG00000136068	ENSG00000136068
ENSG00000136068	ENSG00000128591
ENSG00000136068	ENSG00000196924
ENSG00000179407	ENSG00000179407
ENSG00000179407	ENSG00000105993
ENSG00000179407	ENSG00000135924
ENSG00000071794	ENSG00000071794
ENSG00000043093	ENSG00000043093
ENSG00000182899	ENSG00000182899
ENSG00000109171	ENSG00000109171
ENSG00000145293	ENSG00000145293
ENSG00000138778	ENSG00000138778
ENSG00000168538	ENSG00000168538
ENSG00000082074	ENSG00000082074
ENSG00000133710	ENSG00000133710
ENSG00000040275	ENSG00000040275
ENSG00000054598	ENSG00000054598
ENSG00000204348	ENSG00000204348
ENSG00000204348	ENSG00000236765
ENSG00000112578	ENSG00000112578
ENSG00000137269	ENSG00000137269
ENSG00000137269	ENSG00000108061
ENSG00000057663	ENSG00000057663
ENSG00000118513	ENSG00000118513
ENSG00000122545	ENSG00000122545
ENSG00000126524	ENSG00000126524
ENSG00000135249	ENSG00000135249
ENSG00000147416	ENSG00000147416
ENSG00000147416	ENSG00000116039
ENSG00000147416	ENSG00000114573
ENSG00000147471	ENSG00000147471
ENSG00000137575	ENSG00000137575
ENSG00000104327	ENSG00000104327
ENSG00000104327	ENSG00000079689
ENSG00000104327	ENSG00000172137
ENSG00000181404	ENSG00000181404
ENSG00000148019	ENSG00000148019
ENSG00000170681	ENSG00000170681
ENSG00000170681	ENSG00000177469
ENSG00000170681	ENSG00000168497
ENSG00000136935	ENSG00000136935
ENSG00000136819	ENSG00000136819
ENSG00000176101	ENSG00000176101
ENSG00000086712	ENSG00000086712
ENSG00000086712	ENSG00000084652
ENSG00000094631	ENSG00000094631
ENSG00000001497	ENSG00000001497
ENSG00000198932	ENSG00000198932
ENSG00000102178	ENSG00000102178
ENSG00000171735	ENSG00000171735
ENSG00000131914	ENSG00000131914
ENSG00000131914	ENSG00000187772
ENSG00000117461	ENSG00000117461
ENSG00000117461	ENSG00000145675
ENSG00000116675	ENSG00000116675
ENSG00000116675	ENSG00000178950
ENSG00000117528	ENSG00000117528
ENSG00000117528	ENSG00000173208
ENSG00000117528	ENSG00000101986
ENSG00000134242	ENSG00000134242
ENSG00000143409	ENSG00000143409
ENSG00000143409	ENSG00000128923
ENSG00000075945	ENSG00000075945
ENSG00000134371	ENSG00000134371
ENSG00000135775	ENSG00000135775
ENSG00000096717	ENSG00000096717
ENSG00000062650	ENSG00000062650
ENSG00000148834	ENSG00000148834
ENSG00000148834	ENSG00000065621
ENSG00000148834	ENSG00000169504
ENSG00000188690	ENSG00000188690
ENSG00000166387	ENSG00000166387
ENSG00000166387	ENSG00000110841
ENSG00000148935	ENSG00000148935
ENSG00000168004	ENSG00000168004
ENSG00000175592	ENSG00000175592
ENSG00000175592	ENSG00000170345
ENSG00000151365	ENSG00000151365
ENSG00000151365	ENSG00000165175
ENSG00000110060	ENSG00000110060
ENSG00000089818	ENSG00000089818
ENSG00000161791	ENSG00000161791
ENSG00000161791	ENSG00000157827
ENSG00000161791	ENSG00000184922
ENSG00000161791	ENSG00000100592
ENSG00000161791	ENSG00000147202
ENSG00000161791	ENSG00000131504
ENSG00000161791	ENSG00000139734
ENSG00000111554	ENSG00000111554
ENSG00000120868	ENSG00000120868
ENSG00000150456	ENSG00000150456
ENSG00000102760	ENSG00000102760
ENSG00000134874	ENSG00000134874
ENSG00000139977	ENSG00000139977
ENSG00000243989	ENSG00000243989
ENSG00000121552	ENSG00000121552
ENSG00000121552	ENSG00000160213
ENSG00000091527	ENSG00000091527
ENSG00000163655	ENSG00000163655
ENSG00000087274	ENSG00000087274
ENSG00000087274	ENSG00000075340
ENSG00000087274	ENSG00000148700
ENSG00000150961	ENSG00000150961
ENSG00000150961	ENSG00000176986
ENSG00000150961	ENSG00000113615
ENSG00000150961	ENSG00000138802
ENSG00000109686	ENSG00000109686
ENSG00000180104	ENSG00000180104
ENSG00000062194	ENSG00000062194
ENSG00000145780	ENSG00000145780
ENSG00000145780	ENSG00000141965
ENSG00000145780	ENSG00000169018
ENSG00000184584	ENSG00000184584
ENSG00000145907	ENSG00000145907
ENSG00000145907	ENSG00000138757
ENSG00000124802	ENSG00000124802
ENSG00000124614	ENSG00000124614
ENSG00000112667	ENSG00000112667
ENSG00000196586	ENSG00000196586
ENSG00000135521	ENSG00000135521
ENSG00000239857	ENSG00000239857
ENSG00000164708	ENSG00000164708
ENSG00000164708	ENSG00000171314
ENSG00000164708	ENSG00000172331
ENSG00000164708	ENSG00000078237
ENSG00000127946	ENSG00000127946
ENSG00000127946	ENSG00000130787
ENSG00000166508	ENSG00000166508
ENSG00000166508	ENSG00000125885
ENSG00000166508	ENSG00000100297
ENSG00000105939	ENSG00000105939
ENSG00000176907	ENSG00000176907
ENSG00000147604	ENSG00000147604
ENSG00000147604	ENSG00000146223
ENSG00000104518	ENSG00000104518
ENSG00000104518	ENSG00000278718
ENSG00000104518	ENSG00000073605
ENSG00000104518	ENSG00000167914
ENSG00000104518	ENSG00000147697
ENSG00000104518	ENSG00000285114
ENSG00000137154	ENSG00000137154
ENSG00000137106	ENSG00000137106
ENSG00000188312	ENSG00000188312
ENSG00000148218	ENSG00000148218
ENSG00000136877	ENSG00000136877
ENSG00000165695	ENSG00000165695
ENSG00000165695	ENSG00000154027
ENSG00000276155	ENSG00000276155
ENSG00000196433	ENSG00000196433
ENSG00000130066	ENSG00000130066
ENSG00000147162	ENSG00000147162
ENSG00000281614	ENSG00000281614
ENSG00000281614	ENSG00000168918
ENSG00000281614	ENSG00000165458
ENSG00000160075	ENSG00000160075
ENSG00000116649	ENSG00000116649
ENSG00000116649	ENSG00000102172
ENSG00000116981	ENSG00000116981
ENSG00000134222	ENSG00000134222
ENSG00000092621	ENSG00000092621
ENSG00000143256	ENSG00000143256
ENSG00000117139	ENSG00000117139
ENSG00000117139	ENSG00000126012
ENSG00000118873	ENSG00000118873
ENSG00000077522	ENSG00000077522
ENSG00000077522	ENSG00000248746
ENSG00000077522	ENSG00000130402
ENSG00000077522	ENSG00000072110
ENSG00000148429	ENSG00000148429
ENSG00000108094	ENSG00000108094
ENSG00000108094	ENSG00000055130
ENSG00000108094	ENSG00000036257
ENSG00000108094	ENSG00000158290
ENSG00000108094	ENSG00000166266
ENSG00000166220	ENSG00000166220
ENSG00000107816	ENSG00000107816
ENSG00000171772	ENSG00000171772
ENSG00000149089	ENSG00000149089
ENSG00000166889	ENSG00000166889
ENSG00000068976	ENSG00000068976
ENSG00000068976	ENSG00000100504
ENSG00000137497	ENSG00000137497
ENSG00000020922	ENSG00000020922
ENSG00000168092	ENSG00000168092
ENSG00000168092	ENSG00000079462
ENSG00000171681	ENSG00000171681
ENSG00000139625	ENSG00000139625
ENSG00000136026	ENSG00000136026
ENSG00000135094	ENSG00000135094
ENSG00000135094	ENSG00000139410
ENSG00000135094	ENSG00000167720
ENSG00000090975	ENSG00000090975
ENSG00000090975	ENSG00000091622
ENSG00000090975	ENSG00000110697
ENSG00000186184	ENSG00000186184
ENSG00000101152	ENSG00000101152
ENSG00000100354	ENSG00000100354
ENSG00000128159	ENSG00000128159
ENSG00000144596	ENSG00000144596
ENSG00000144596	ENSG00000155974
ENSG00000188846	ENSG00000188846
ENSG00000114439	ENSG00000114439
ENSG00000159685	ENSG00000159685
ENSG00000180370	ENSG00000180370
ENSG00000180370	ENSG00000077264
ENSG00000180370	ENSG00000149269
ENSG00000180370	ENSG00000169967
ENSG00000180370	ENSG00000198909
ENSG00000078177	ENSG00000078177
ENSG00000169288	ENSG00000169288
ENSG00000137601	ENSG00000137601
ENSG00000113407	ENSG00000113407
ENSG00000085231	ENSG00000085231
ENSG00000197375	ENSG00000197375
ENSG00000113578	ENSG00000113578
ENSG00000170584	ENSG00000170584
ENSG00000137393	ENSG00000137393
ENSG00000146263	ENSG00000146263
ENSG00000118520	ENSG00000118520
ENSG00000112029	ENSG00000112029
ENSG00000011275	ENSG00000011275
ENSG00000106105	ENSG00000106105
ENSG00000161040	ENSG00000161040
ENSG00000106477	ENSG00000106477
ENSG00000127399	ENSG00000127399
ENSG00000155975	ENSG00000155975
ENSG00000157110	ENSG00000157110
ENSG00000008988	ENSG00000008988
ENSG00000104267	ENSG00000104267
ENSG00000104267	ENSG00000133742
ENSG00000104267	ENSG00000185015
ENSG00000104267	ENSG00000164879
ENSG00000104267	ENSG00000168748
ENSG00000164754	ENSG00000164754
ENSG00000160948	ENSG00000160948
ENSG00000160948	ENSG00000285339
ENSG00000186638	ENSG00000186638
ENSG00000095380	ENSG00000095380
ENSG00000171097	ENSG00000171097
ENSG00000171097	ENSG00000198650
ENSG00000107223	ENSG00000107223
ENSG00000262473	ENSG00000262473
ENSG00000206445	ENSG00000206445
ENSG00000206445	ENSG00000136888
ENSG00000206445	ENSG00000151418
ENSG00000102384	ENSG00000102384
ENSG00000232119	ENSG00000232119
ENSG00000116251	ENSG00000116251
ENSG00000197312	ENSG00000197312
ENSG00000133226	ENSG00000133226
ENSG00000142937	ENSG00000142937
ENSG00000132849	ENSG00000132849
ENSG00000122484	ENSG00000122484
ENSG00000116455	ENSG00000116455
ENSG00000198715	ENSG00000198715
ENSG00000143179	ENSG00000143179
ENSG00000143179	ENSG00000130717
ENSG00000143486	ENSG00000143486
ENSG00000078403	ENSG00000078403
ENSG00000108064	ENSG00000108064
ENSG00000107447	ENSG00000107447
ENSG00000166275	ENSG00000166275
ENSG00000177700	ENSG00000177700
ENSG00000149016	ENSG00000149016
ENSG00000126391	ENSG00000126391
ENSG00000084207	ENSG00000084207
ENSG00000084207	ENSG00000134201
ENSG00000084207	ENSG00000168765
ENSG00000084207	ENSG00000213366
ENSG00000084207	ENSG00000134184
ENSG00000084207	ENSG00000134202
ENSG00000084207	ENSG00000244067
ENSG00000084207	ENSG00000243955
ENSG00000084207	ENSG00000182793
ENSG00000084207	ENSG00000174156
ENSG00000084207	ENSG00000170899
ENSG00000149273	ENSG00000149273
ENSG00000149313	ENSG00000149313
ENSG00000259571	ENSG00000259571
ENSG00000111669	ENSG00000111669
ENSG00000111731	ENSG00000111731
ENSG00000139620	ENSG00000139620
ENSG00000082258	ENSG00000082258
ENSG00000091428	ENSG00000091428
ENSG00000066248	ENSG00000066248
ENSG00000066248	ENSG00000114790
ENSG00000066248	ENSG00000130762
ENSG00000066248	ENSG00000142632
ENSG00000088832	ENSG00000088832
ENSG00000088832	ENSG00000119782
ENSG00000088325	ENSG00000088325
ENSG00000160207	ENSG00000160207
ENSG00000100099	ENSG00000100099
ENSG00000134077	ENSG00000134077
ENSG00000151092	ENSG00000151092
ENSG00000178038	ENSG00000178038
ENSG00000068001	ENSG00000068001
ENSG00000163618	ENSG00000163618
ENSG00000144895	ENSG00000144895
ENSG00000163888	ENSG00000163888
ENSG00000109265	ENSG00000109265
ENSG00000164164	ENSG00000164164
ENSG00000151876	ENSG00000151876
ENSG00000113163	ENSG00000113163
ENSG00000151422	ENSG00000151422
ENSG00000151422	ENSG00000182511
ENSG00000094880	ENSG00000094880
ENSG00000070814	ENSG00000070814
ENSG00000037241	ENSG00000037241
ENSG00000037241	ENSG00000161970
ENSG00000204209	ENSG00000204209
ENSG00000112530	ENSG00000112530
ENSG00000106546	ENSG00000106546
ENSG00000106089	ENSG00000106089
ENSG00000106089	ENSG00000099365
ENSG00000106089	ENSG00000103496
ENSG00000106089	ENSG00000124222
ENSG00000105879	ENSG00000105879
ENSG00000105875	ENSG00000105875
ENSG00000106617	ENSG00000106617
ENSG00000120910	ENSG00000120910
ENSG00000120910	ENSG00000107758
ENSG00000120910	ENSG00000138814
ENSG00000175324	ENSG00000175324
ENSG00000156172	ENSG00000156172
ENSG00000164985	ENSG00000164985
ENSG00000107175	ENSG00000107175
ENSG00000070214	ENSG00000070214
ENSG00000119487	ENSG00000119487
ENSG00000130713	ENSG00000130713
ENSG00000227761	ENSG00000227761
ENSG00000227761	ENSG00000096155
ENSG00000096150	ENSG00000096150
ENSG00000173698	ENSG00000173698
ENSG00000089289	ENSG00000089289
ENSG00000089289	ENSG00000266826
ENSG00000133135	ENSG00000133135
ENSG00000168939	ENSG00000168939
ENSG00000168939	ENSG00000164056
ENSG00000168939	ENSG00000187678
ENSG00000168939	ENSG00000136158
ENSG00000164024	ENSG00000164024
ENSG00000164024	ENSG00000111142
ENSG00000145431	ENSG00000145431
ENSG00000164237	ENSG00000164237
ENSG00000086189	ENSG00000086189
ENSG00000113319	ENSG00000113319
ENSG00000113319	ENSG00000058335
ENSG00000112855	ENSG00000112855
ENSG00000112855	ENSG00000170445
ENSG00000113272	ENSG00000113272
ENSG00000145916	ENSG00000145916
ENSG00000047579	ENSG00000047579
ENSG00000204574	ENSG00000204574
ENSG00000096384	ENSG00000096384
ENSG00000096384	ENSG00000080824
ENSG00000096384	ENSG00000166598
ENSG00000135315	ENSG00000135315
ENSG00000131013	ENSG00000131013
ENSG00000106266	ENSG00000106266
ENSG00000106052	ENSG00000106052
ENSG00000136205	ENSG00000136205
ENSG00000005469	ENSG00000005469
ENSG00000005469	ENSG00000070748
ENSG00000005469	ENSG00000095321
ENSG00000169871	ENSG00000169871
ENSG00000135245	ENSG00000135245
ENSG00000197993	ENSG00000197993
ENSG00000120915	ENSG00000120915
ENSG00000168522	ENSG00000168522
ENSG00000178685	ENSG00000178685
ENSG00000048828	ENSG00000048828
ENSG00000119402	ENSG00000119402
ENSG00000167118	ENSG00000167118
ENSG00000130560	ENSG00000130560
ENSG00000276432	ENSG00000276432
ENSG00000276432	ENSG00000278023
ENSG00000226225	ENSG00000226225
ENSG00000047648	ENSG00000047648
ENSG00000198947	ENSG00000198947
ENSG00000130119	ENSG00000130119
ENSG00000050030	ENSG00000050030
ENSG00000285032	ENSG00000285032
ENSG00000285032	ENSG00000104643
ENSG00000285032	ENSG00000139505
ENSG00000285032	ENSG00000171100
ENSG00000285032	ENSG00000063601
ENSG00000285032	ENSG00000087053
ENSG00000285032	ENSG00000003987
ENSG00000285032	ENSG00000102043
ENSG00000157870	ENSG00000157870
ENSG00000116670	ENSG00000116670
ENSG00000127125	ENSG00000127125
ENSG00000186364	ENSG00000186364
ENSG00000160752	ENSG00000160752
ENSG00000081721	ENSG00000081721
ENSG00000143742	ENSG00000143742
ENSG00000187522	ENSG00000187522
ENSG00000187522	ENSG00000204390
ENSG00000187522	ENSG00000126803
ENSG00000187522	ENSG00000173110
ENSG00000187522	ENSG00000109971
ENSG00000187522	ENSG00000204388
ENSG00000187522	ENSG00000206383
ENSG00000187522	ENSG00000215328
ENSG00000187522	ENSG00000044574
ENSG00000182180	ENSG00000182180
ENSG00000166189	ENSG00000166189
ENSG00000166199	ENSG00000166199
ENSG00000124920	ENSG00000124920
ENSG00000110025	ENSG00000110025
ENSG00000118181	ENSG00000118181
ENSG00000023697	ENSG00000023697
ENSG00000151239	ENSG00000151239
ENSG00000111481	ENSG00000111481
ENSG00000111481	ENSG00000005243
ENSG00000102189	ENSG00000102189
ENSG00000135093	ENSG00000135093
ENSG00000089250	ENSG00000089250
ENSG00000089250	ENSG00000007171
ENSG00000089250	ENSG00000164867
ENSG00000111361	ENSG00000111361
ENSG00000111361	ENSG00000119718
ENSG00000111361	ENSG00000037757
ENSG00000102837	ENSG00000102837
ENSG00000198176	ENSG00000198176
ENSG00000100949	ENSG00000100949
ENSG00000087302	ENSG00000087302
ENSG00000171723	ENSG00000171723
ENSG00000137825	ENSG00000137825
ENSG00000167196	ENSG00000167196
ENSG00000140525	ENSG00000140525
ENSG00000186517	ENSG00000186517
ENSG00000077157	ENSG00000077157
ENSG00000077157	ENSG00000058272
ENSG00000067704	ENSG00000067704
ENSG00000067704	ENSG00000196305
ENSG00000067704	ENSG00000206476
ENSG00000067704	ENSG00000223494
ENSG00000067704	ENSG00000137411
ENSG00000067704	ENSG00000236178
ENSG00000067704	ENSG00000230985
ENSG00000067704	ENSG00000224264
ENSG00000067704	ENSG00000096171
ENSG00000067704	ENSG00000133706
ENSG00000116977	ENSG00000116977
ENSG00000116977	ENSG00000168961
ENSG00000116977	ENSG00000171916
ENSG00000116977	ENSG00000170298
ENSG00000116977	ENSG00000171747
ENSG00000198879	ENSG00000198879
ENSG00000148498	ENSG00000148498
ENSG00000180644	ENSG00000180644
ENSG00000166135	ENSG00000166135
ENSG00000196865	ENSG00000196865
ENSG00000203772	ENSG00000203772
ENSG00000167325	ENSG00000167325
ENSG00000121691	ENSG00000121691
ENSG00000068831	ENSG00000068831
ENSG00000068831	ENSG00000171777
ENSG00000068831	ENSG00000172575
ENSG00000173992	ENSG00000173992
ENSG00000204571	ENSG00000204571
ENSG00000204571	ENSG00000244411
ENSG00000204571	ENSG00000241233
ENSG00000204571	ENSG00000254997
ENSG00000204571	ENSG00000204572
ENSG00000204571	ENSG00000205867
ENSG00000204571	ENSG00000196224
ENSG00000204571	ENSG00000205864
ENSG00000204571	ENSG00000278620
ENSG00000204571	ENSG00000185940
